doctor_id,doctor_name,specialty,territory_id,assigned_rep_id,years_in_practice,patient_volume_monthly,baseline_rx_potential,loyalty_to_competitor,is_untapped_target,defection_month
D0026,Dr. Robert Patel,Internal Medicine,T09,R047,17,67,17,False,False,
D0027,Dr. Robert Singh,General Physician,T02,R011,8,103,26,False,False,
D0028,Dr. Robert Smith,Endocrinologist,T02,R006,19,178,56,False,False,
D0029,Dr. Kavya Reddy,Internal Medicine,T03,R015,5,165,30,True,False,
D0030,Dr. Aditya Khan,Diabetologist,T04,R023,10,71,48,True,False,
D0031,Dr. Divya Chen,Diabetologist,T04,R021,33,105,41,False,True,
D0032,Dr. Imran Rao,Internal Medicine,T01,R003,26,92,43,False,True,
D0033,Dr. Kavya Singh,Endocrinologist,T09,R046,5,46,23,False,False,
D0034,Dr. Jennifer Kim,Diabetologist,T09,R046,11,40,31,False,False,
D0035,Dr. Jennifer Gupta,General Physician,T07,R036,32,69,64,True,False,
D0036,Dr. Anjali Kim,General Physician,T10,R053,34,83,19,True,False,
D0037,Dr. Rohan Smith,General Physician,T10,R053,6,53,16,True,False,
D0038,Dr. Jennifer Rao,Diabetologist,T10,R049,32,61,44,False,False,
D0039,Dr. Vikram Khan,Diabetologist,T04,R023,12,63,21,False,False,
D0040,Dr. Karan Bose,Endocrinologist,T07,R036,5,61,27,False,False,
D0041,Dr. James Smith,Diabetologist,T08,R044,8,54,34,False,False,2024-09
D0042,Dr. Aditya Iyer,Diabetologist,T07,R036,18,80,22,False,False,
D0043,Dr. Divya Iyer,General Physician,T08,R039,34,110,24,True,False,
D0044,Dr. Patricia Sharma,Endocrinologist,T07,R038,33,97,16,False,False,2024-06
D0045,Dr. Arjun Singh,Diabetologist,T04,R023,4,63,25,False,False,
D0046,Dr. Patricia Rao,Internal Medicine,T06,R029,13,82,15,True,False,
D0047,Dr. Arjun Iyer,Endocrinologist,T02,R008,30,89,31,False,False,
D0048,Dr. Imran Bose,Internal Medicine,T10,R053,33,43,28,False,False,
D0049,Dr. Kavya Rao,General Physician,T09,R047,11,123,41,False,True,2024-05
D0050,Dr. Arjun Patel,General Physician,T07,R037,9,67,24,False,False,
D0051,Dr. Ravi Rao,Endocrinologist,T08,R045,33,54,41,False,True,
D0052,Dr. Anjali Verma,General Physician,T04,R021,13,203,43,False,True,
D0053,Dr. Vikram Gupta,Diabetologist,T04,R022,26,60,44,False,False,
D0054,Dr. Sara Kim,Diabetologist,T06,R032,12,78,36,False,False,
D0055,Dr. Rohan Singh,Internal Medicine,T03,R020,9,67,32,True,False,
D0056,Dr. Priya Kim,Diabetologist,T01,R002,31,123,30,True,False,
D0057,Dr. Ravi Sharma,Endocrinologist,T04,R023,18,79,22,False,False,
D0058,Dr. Kavya Singh,General Physician,T08,R042,18,51,26,False,False,
D0059,Dr. Mary Singh,Diabetologist,T03,R016,6,40,26,True,False,
D0060,Dr. Karan Bose,Endocrinologist,T07,R038,9,72,60,False,True,2024-06
D0061,Dr. Meera Rao,Internal Medicine,T06,R034,14,170,15,False,False,
D0062,Dr. Ananya Iyer,Diabetologist,T05,R027,18,59,24,False,False,
D0063,Dr. Robert Menon,Diabetologist,T08,R043,1,135,29,True,False,
D0064,Dr. Arjun Bose,Internal Medicine,T09,R048,11,63,17,False,False,
D0065,Dr. Vikram Verma,Diabetologist,T10,R052,24,50,36,False,True,
D0066,Dr. Patricia Patel,Diabetologist,T08,R040,20,37,20,True,False,
D0067,Dr. Ananya Smith,Internal Medicine,T01,R004,21,82,31,False,False,
D0068,Dr. Vikram Singh,Diabetologist,T04,R023,31,96,27,False,False,
D0069,Dr. Imran Gupta,Internal Medicine,T06,R031,10,83,10,True,False,
D0070,Dr. Patricia Kim,General Physician,T01,R002,2,41,34,False,False,
D0071,Dr. Imran Khan,General Physician,T05,R027,1,69,15,False,False,
D0072,Dr. Karan Nair,Diabetologist,T02,R011,31,97,30,False,False,
D0073,Dr. Patricia Reddy,Diabetologist,T06,R033,32,71,48,False,True,
D0074,Dr. Karan Kapoor,General Physician,T02,R012,19,102,38,True,True,
D0075,Dr. Nikhil Singh,General Physician,T03,R013,5,53,26,False,False,
D0076,Dr. Sara Sharma,Diabetologist,T04,R023,3,207,27,False,False,
D0077,Dr. Sara Nair,Diabetologist,T10,R051,12,58,28,False,False,
D0078,Dr. Divya Patel,Diabetologist,T05,R025,4,83,24,False,False,
D0079,Dr. John Singh,Diabetologist,T06,R030,1,83,18,False,False,
D0080,Dr. Meera Bose,Endocrinologist,T10,R051,10,117,26,False,False,
D0081,Dr. Neha Nair,Endocrinologist,T01,R002,14,77,26,False,False,
D0082,Dr. Arjun Iyer,General Physician,T03,R020,29,88,59,True,False,
D0083,Dr. Imran Chen,Diabetologist,T05,R026,14,84,33,False,False,
D0084,Dr. Arjun Gupta,Diabetologist,T09,R048,25,103,63,True,True,
D0085,Dr. Suresh Gupta,Diabetologist,T08,R043,19,102,26,True,False,
D0086,Dr. Jennifer Iyer,Diabetologist,T07,R037,29,86,31,True,False,
D0087,Dr. Divya Kapoor,Diabetologist,T04,R022,12,118,27,False,False,
D0088,Dr. Sara Sharma,Internal Medicine,T09,R048,34,143,18,False,False,
D0089,Dr. Ananya Rao,Endocrinologist,T02,R010,9,68,17,False,False,
D0090,Dr. Anjali Kim,Diabetologist,T05,R026,4,70,23,True,False,
D0091,Dr. Karan Reddy,General Physician,T04,R023,27,69,39,True,True,
D0092,Dr. Patricia Sharma,Internal Medicine,T01,R002,19,68,17,False,False,
D0093,Dr. John Rao,General Physician,T01,R001,10,69,15,False,False,
D0094,Dr. Karan Patel,General Physician,T08,R044,6,89,26,False,False,2024-07
D0095,Dr. Neha Patel,Endocrinologist,T10,R049,12,113,20,False,False,
D0096,Dr. Divya Patel,Endocrinologist,T03,R016,22,68,19,False,False,
D0097,Dr. Imran Sharma,Diabetologist,T01,R002,17,101,49,False,False,
D0098,Dr. Suresh Verma,General Physician,T02,R008,4,75,26,False,False,
D0099,Dr. Suresh Reddy,General Physician,T01,R001,10,203,33,True,False,
D0100,Dr. Divya Reddy,Endocrinologist,T08,R041,18,95,25,True,False,
D0101,Dr. Anjali Bose,Internal Medicine,T01,R001,25,112,36,False,True,
D0102,Dr. Vikram Kim,General Physician,T07,R037,20,61,25,True,False,
D0103,Dr. Divya Patel,General Physician,T08,R044,3,64,24,False,False,
D0104,Dr. James Nair,Diabetologist,T03,R014,5,93,35,False,False,
D0105,Dr. John Verma,Diabetologist,T03,R014,11,66,25,False,False,
D0106,Dr. Divya Nair,Diabetologist,T03,R013,24,85,44,False,False,2024-10
D0107,Dr. Arjun Menon,Internal Medicine,T08,R044,15,130,19,False,False,
D0108,Dr. Kavya Sharma,General Physician,T10,R052,5,67,48,False,True,
D0109,Dr. Imran Menon,Internal Medicine,T08,R039,9,64,16,False,False,
D0110,Dr. Mary Rao,General Physician,T03,R017,20,91,22,False,False,
D0111,Dr. Neha Bose,General Physician,T08,R042,29,79,27,False,False,2024-08
D0112,Dr. Divya Singh,Endocrinologist,T08,R043,8,108,16,False,False,
D0113,Dr. Ananya Iyer,General Physician,T05,R025,13,82,20,False,False,
D0114,Dr. Suresh Sharma,Diabetologist,T02,R011,8,59,35,False,False,2024-05
D0115,Dr. Jennifer Chen,General Physician,T04,R022,15,40,23,False,False,
D0116,Dr. Pooja Rao,Diabetologist,T09,R046,16,97,19,False,False,
D0117,Dr. Ravi Gupta,Internal Medicine,T06,R032,16,67,35,False,False,
D0118,Dr. Priya Reddy,Internal Medicine,T02,R006,6,90,27,False,False,
D0119,Dr. Suresh Chen,Diabetologist,T10,R051,29,45,33,False,False,
D0120,Dr. Jennifer Menon,General Physician,T06,R030,20,66,47,False,False,2024-09
D0121,Dr. Imran Verma,General Physician,T04,R022,8,98,26,True,False,
D0122,Dr. Aditya Patel,Diabetologist,T01,R002,15,123,30,False,False,
D0123,Dr. Karan Patel,General Physician,T06,R032,29,124,75,False,True,
D0124,Dr. Mary Rao,Endocrinologist,T06,R034,25,134,11,True,False,
D0125,Dr. Kavya Singh,General Physician,T02,R010,33,85,28,False,False,
D0126,Dr. Patricia Menon,Internal Medicine,T09,R047,20,120,18,False,False,
D0127,Dr. Rohan Khan,General Physician,T06,R032,10,97,31,False,False,
D0128,Dr. Imran Khan,Diabetologist,T01,R002,5,79,18,False,False,
D0129,Dr. Ravi Bose,General Physician,T02,R007,6,73,21,False,False,
D0130,Dr. Robert Rao,General Physician,T03,R018,19,65,15,False,False,
D0131,Dr. Sara Nair,Diabetologist,T08,R044,27,123,35,False,False,
D0132,Dr. Arjun Singh,Diabetologist,T08,R040,23,87,26,False,False,
D0133,Dr. John Patel,Endocrinologist,T09,R046,11,66,23,False,False,2024-09
D0134,Dr. Divya Rao,Diabetologist,T07,R036,10,82,17,False,False,
D0135,Dr. Sara Rao,Diabetologist,T10,R053,8,163,42,False,False,
D0136,Dr. Arjun Menon,General Physician,T04,R023,10,52,12,True,False,
D0137,Dr. John Kapoor,Internal Medicine,T06,R030,3,53,40,False,False,
D0138,Dr. Patricia Nair,Endocrinologist,T07,R038,6,141,31,True,False,
D0139,Dr. Ananya Nair,General Physician,T04,R021,21,51,21,False,False,
D0140,Dr. Vikram Smith,General Physician,T05,R025,8,139,27,False,False,
D0141,Dr. Ananya Bose,General Physician,T08,R042,32,70,14,True,False,
D0142,Dr. Kavya Chen,General Physician,T09,R047,5,100,46,True,True,
D0143,Dr. Robert Nair,Diabetologist,T10,R052,30,136,15,True,False,
D0144,Dr. Nikhil Chen,Internal Medicine,T03,R013,29,136,20,False,False,
D0145,Dr. James Menon,Diabetologist,T08,R044,21,114,38,True,True,
D0146,Dr. Anjali Nair,Diabetologist,T08,R041,10,86,22,False,False,
D0147,Dr. James Bose,Endocrinologist,T10,R053,15,78,29,False,False,
D0148,Dr. Priya Verma,General Physician,T07,R037,22,79,28,True,False,
D0149,Dr. Ananya Nair,General Physician,T03,R020,34,148,19,True,False,
D0150,Dr. Ravi Patel,Diabetologist,T08,R040,10,97,21,False,False,
D0151,Dr. James Rao,Internal Medicine,T02,R010,23,130,52,True,True,
D0152,Dr. Pooja Khan,General Physician,T04,R022,29,37,38,False,False,
D0153,Dr. Patricia Patel,General Physician,T05,R028,33,76,33,False,False,
D0154,Dr. Ananya Menon,Endocrinologist,T08,R043,12,97,27,True,False,
D0155,Dr. Karan Bose,Diabetologist,T02,R011,24,75,18,True,False,
D0156,Dr. Ananya Verma,Diabetologist,T07,R037,18,178,15,False,False,
D0157,Dr. Priya Sharma,General Physician,T02,R011,24,57,34,False,False,
D0158,Dr. Kavya Sharma,Endocrinologist,T04,R021,12,105,20,False,False,2024-08
D0159,Dr. Meera Khan,Endocrinologist,T02,R006,24,119,23,False,False,
D0160,Dr. Robert Sharma,Diabetologist,T01,R003,31,64,16,False,False,
D0161,Dr. John Patel,Diabetologist,T04,R021,5,118,12,False,False,
D0162,Dr. Neha Kim,Endocrinologist,T10,R049,31,101,27,False,False,
D0163,Dr. Pooja Kapoor,Diabetologist,T06,R032,9,227,17,False,False,
D0164,Dr. Pooja Rao,Internal Medicine,T08,R045,2,145,56,False,True,
D0165,Dr. Divya Gupta,Diabetologist,T03,R015,3,86,50,False,False,
D0166,Dr. Kavya Verma,Internal Medicine,T03,R014,18,123,23,False,False,
D0167,Dr. Anjali Gupta,Internal Medicine,T10,R052,32,101,41,False,False,
D0168,Dr. Divya Rao,Endocrinologist,T08,R040,6,74,18,False,False,
D0169,Dr. Patricia Sharma,General Physician,T05,R027,34,111,41,False,False,
D0170,Dr. Priya Kapoor,General Physician,T03,R014,3,104,59,True,True,
D0171,Dr. Patricia Smith,Endocrinologist,T09,R046,21,152,34,False,False,
D0172,Dr. Robert Iyer,General Physician,T05,R028,21,52,61,False,False,
D0173,Dr. Rohan Reddy,General Physician,T01,R003,6,53,10,False,False,
D0174,Dr. Kavya Menon,Diabetologist,T09,R046,30,66,25,False,False,
D0175,Dr. Jennifer Kapoor,Internal Medicine,T05,R026,5,111,23,False,False,
D0176,Dr. Suresh Smith,Diabetologist,T05,R027,6,128,35,False,False,2024-07
D0177,Dr. Pooja Khan,Diabetologist,T04,R021,16,84,26,True,False,
D0178,Dr. Priya Verma,Endocrinologist,T03,R020,13,96,34,False,False,
D0179,Dr. Priya Verma,Diabetologist,T07,R037,14,89,28,False,False,
D0180,Dr. Imran Gupta,Endocrinologist,T04,R023,13,48,18,False,False,
D0181,Dr. Mary Nair,Endocrinologist,T06,R034,7,65,15,False,False,
D0182,Dr. Suresh Gupta,Endocrinologist,T01,R001,21,121,40,False,False,
D0183,Dr. Neha Sharma,Internal Medicine,T09,R048,4,118,19,True,False,
D0184,Dr. Kavya Smith,Internal Medicine,T03,R017,20,132,33,True,False,
D0185,Dr. Nikhil Chen,Diabetologist,T07,R038,23,112,30,True,False,
D0186,Dr. Divya Sharma,Diabetologist,T03,R017,15,35,21,False,False,
D0187,Dr. John Patel,General Physician,T02,R007,27,97,13,False,False,
D0188,Dr. Aditya Bose,Diabetologist,T02,R010,22,100,29,True,False,
D0189,Dr. Sara Kapoor,Endocrinologist,T08,R041,3,53,43,True,True,
D0190,Dr. Pooja Patel,General Physician,T01,R002,14,166,8,False,False,2024-09
D0191,Dr. Patricia Singh,Diabetologist,T08,R043,11,83,14,False,False,
D0192,Dr. Divya Reddy,General Physician,T05,R025,11,123,70,False,True,
D0193,Dr. Priya Chen,General Physician,T05,R028,11,116,28,False,False,
D0194,Dr. Anjali Reddy,Endocrinologist,T03,R013,27,109,31,False,False,
D0195,Dr. Ravi Chen,Diabetologist,T04,R022,19,143,45,False,True,2024-07
D0196,Dr. Meera Singh,Endocrinologist,T08,R039,8,83,50,False,False,
D0197,Dr. Vikram Chen,Diabetologist,T09,R048,21,123,30,True,False,
D0198,Dr. Nikhil Nair,General Physician,T10,R051,14,103,36,True,True,
D0199,Dr. Pooja Rao,General Physician,T07,R036,14,56,20,False,False,
D0200,Dr. John Bose,Diabetologist,T03,R013,4,69,26,False,False,
D0201,Dr. Rohan Patel,General Physician,T01,R003,30,56,15,True,False,
D0202,Dr. Priya Patel,General Physician,T06,R030,30,49,35,False,False,
D0203,Dr. Ananya Sharma,Diabetologist,T06,R034,14,104,33,False,False,
D0204,Dr. Aditya Khan,Endocrinologist,T06,R031,11,52,33,False,False,
D0205,Dr. Nikhil Khan,Endocrinologist,T06,R032,11,124,34,False,False,
D0206,Dr. Jennifer Gupta,Internal Medicine,T01,R001,17,80,12,False,False,
D0207,Dr. Meera Khan,Diabetologist,T04,R022,27,80,24,True,False,
D0208,Dr. Ravi Gupta,Endocrinologist,T02,R005,30,55,18,True,False,
D0209,Dr. Suresh Chen,Internal Medicine,T09,R046,29,100,23,False,False,
D0210,Dr. Kavya Kapoor,Endocrinologist,T09,R048,22,63,33,False,False,
D0211,Dr. Aditya Verma,General Physician,T09,R048,30,110,48,False,True,
D0212,Dr. Ravi Smith,Diabetologist,T05,R026,3,112,24,False,False,
D0213,Dr. Anjali Iyer,Endocrinologist,T09,R048,6,47,19,False,False,
D0214,Dr. Ananya Kim,Diabetologist,T09,R046,11,104,21,False,False,
D0215,Dr. Nikhil Sharma,Internal Medicine,T04,R022,7,41,25,False,False,2024-10
D0216,Dr. Neha Gupta,General Physician,T01,R003,25,117,24,False,False,
D0217,Dr. Karan Kapoor,Diabetologist,T09,R048,16,40,29,False,False,
D0218,Dr. Divya Verma,Diabetologist,T06,R029,8,59,35,False,False,2024-07
D0219,Dr. Robert Rao,Endocrinologist,T05,R026,33,138,13,False,False,2024-05
D0220,Dr. Anjali Bose,Diabetologist,T09,R046,9,95,13,False,False,
D0221,Dr. Nikhil Rao,Endocrinologist,T10,R050,22,112,19,False,False,
D0222,Dr. Divya Menon,General Physician,T09,R048,21,36,21,True,False,
D0223,Dr. Arjun Bose,Diabetologist,T01,R003,22,116,47,False,False,
D0224,Dr. Meera Singh,Diabetologist,T01,R004,29,64,23,True,False,
D0225,Dr. Nikhil Menon,Endocrinologist,T05,R024,12,155,39,True,True,
D0226,Dr. Ananya Reddy,Diabetologist,T06,R033,16,89,16,False,False,
D0227,Dr. Arjun Patel,General Physician,T03,R020,34,84,14,False,False,2024-06
D0228,Dr. Mary Rao,Diabetologist,T04,R021,18,48,72,False,True,
D0229,Dr. Anjali Patel,General Physician,T06,R035,7,63,40,False,True,
D0230,Dr. Rohan Verma,Diabetologist,T08,R041,2,87,17,True,False,
D0231,Dr. Divya Kim,General Physician,T08,R041,20,141,24,False,False,
D0232,Dr. Nikhil Iyer,General Physician,T01,R001,6,137,57,False,True,
D0233,Dr. Divya Verma,Diabetologist,T04,R023,23,80,32,False,False,
D0234,Dr. Sara Patel,General Physician,T03,R014,17,57,21,False,False,
D0235,Dr. Arjun Chen,Internal Medicine,T03,R020,28,55,39,False,False,
D0236,Dr. Priya Sharma,General Physician,T09,R046,3,157,32,False,False,
D0237,Dr. John Khan,General Physician,T05,R024,28,98,11,False,False,
D0238,Dr. Rohan Kim,Diabetologist,T05,R024,29,59,65,False,False,
D0239,Dr. Kavya Rao,Diabetologist,T10,R052,14,149,41,False,True,2024-10
D0240,Dr. Robert Reddy,General Physician,T05,R027,21,107,26,False,False,
D0241,Dr. Sara Rao,General Physician,T08,R040,10,115,21,False,False,
D0242,Dr. Vikram Menon,Diabetologist,T10,R049,20,119,19,False,False,
D0243,Dr. Ravi Singh,Diabetologist,T10,R050,34,99,12,False,False,
D0244,Dr. Ravi Khan,Endocrinologist,T04,R021,2,73,28,True,False,
D0245,Dr. Jennifer Nair,General Physician,T05,R027,19,48,20,False,False,
D0246,Dr. Jennifer Nair,Endocrinologist,T01,R004,22,53,16,False,False,
D0247,Dr. James Menon,Internal Medicine,T08,R041,10,63,19,False,False,
D0248,Dr. Jennifer Bose,General Physician,T04,R022,6,106,61,False,False,
D0249,Dr. Suresh Iyer,Internal Medicine,T01,R003,5,67,20,True,False,
D0250,Dr. Kavya Singh,General Physician,T02,R007,4,117,42,True,True,
D0251,Dr. Kavya Gupta,General Physician,T02,R006,28,121,48,False,False,
D0252,Dr. Mary Chen,Internal Medicine,T01,R001,19,149,28,True,False,
D0253,Dr. Neha Rao,Diabetologist,T01,R003,29,151,37,False,False,
D0254,Dr. Patricia Sharma,General Physician,T06,R034,16,155,17,True,False,
D0255,Dr. Suresh Menon,Diabetologist,T03,R017,20,96,23,False,False,
D0256,Dr. Ravi Smith,General Physician,T10,R052,33,93,28,False,False,
D0257,Dr. Imran Khan,Diabetologist,T06,R029,14,70,17,False,False,
D0258,Dr. Anjali Kapoor,General Physician,T06,R032,18,97,18,False,False,
D0259,Dr. Vikram Nair,Diabetologist,T06,R033,23,93,58,False,False,2024-06
D0260,Dr. Mary Menon,General Physician,T07,R037,22,69,44,True,False,
D0261,Dr. Neha Chen,General Physician,T08,R039,34,44,26,True,False,
D0262,Dr. Pooja Menon,Internal Medicine,T04,R021,29,142,17,False,False,
D0263,Dr. Nikhil Sharma,Internal Medicine,T07,R038,20,109,28,True,False,
D0264,Dr. Pooja Kim,Endocrinologist,T06,R030,20,61,17,True,False,
D0265,Dr. Rohan Chen,General Physician,T07,R036,27,75,24,False,False,
D0266,Dr. James Verma,Diabetologist,T08,R043,26,117,27,False,False,
D0267,Dr. Imran Smith,Diabetologist,T08,R044,30,73,28,False,False,
D0268,Dr. Karan Kapoor,General Physician,T06,R035,34,100,20,False,False,
D0269,Dr. Robert Singh,Internal Medicine,T01,R003,26,129,37,False,False,
D0270,Dr. Mary Chen,General Physician,T09,R048,6,121,45,True,False,
D0271,Dr. Anjali Sharma,Endocrinologist,T10,R053,17,85,23,False,False,
D0272,Dr. Anjali Kim,General Physician,T06,R033,2,65,29,False,False,
D0273,Dr. Arjun Gupta,General Physician,T05,R027,7,78,22,False,False,2024-06
D0274,Dr. James Gupta,General Physician,T02,R009,7,117,29,True,False,
D0275,Dr. Priya Verma,Endocrinologist,T05,R025,24,84,46,False,False,
D0276,Dr. Neha Gupta,Internal Medicine,T06,R029,13,158,21,True,False,
D0277,Dr. Suresh Kapoor,Endocrinologist,T08,R039,29,165,20,False,False,
D0278,Dr. Divya Rao,Internal Medicine,T05,R028,22,150,25,False,False,
D0279,Dr. Pooja Menon,General Physician,T02,R007,33,116,23,True,False,
D0280,Dr. Robert Chen,General Physician,T02,R005,1,57,29,False,False,
D0281,Dr. Kavya Rao,General Physician,T06,R029,6,161,27,False,False,2024-09
D0282,Dr. Patricia Kapoor,Internal Medicine,T07,R036,28,118,12,True,False,
D0283,Dr. Ravi Kim,Internal Medicine,T09,R047,4,70,43,False,True,
D0284,Dr. James Bose,Endocrinologist,T09,R048,10,65,23,False,False,
D0285,Dr. Ananya Singh,Endocrinologist,T06,R034,22,71,26,False,False,2024-06
D0286,Dr. Imran Singh,General Physician,T02,R011,15,95,21,True,False,
D0287,Dr. Kavya Nair,Internal Medicine,T09,R048,29,53,44,False,True,
D0288,Dr. Robert Chen,General Physician,T06,R034,5,136,40,False,True,
D0289,Dr. Priya Nair,Diabetologist,T09,R046,3,79,28,False,False,
D0290,Dr. John Menon,Diabetologist,T08,R042,31,110,33,False,False,
D0291,Dr. Pooja Nair,Endocrinologist,T04,R022,21,48,30,False,False,
D0292,Dr. Kavya Kapoor,General Physician,T05,R024,5,238,19,True,False,
D0293,Dr. Mary Rao,Internal Medicine,T05,R027,10,129,24,False,False,
D0294,Dr. Karan Chen,Endocrinologist,T03,R013,7,86,48,False,False,
D0295,Dr. Mary Iyer,Endocrinologist,T08,R040,34,58,34,False,False,
D0296,Dr. Patricia Bose,Endocrinologist,T04,R023,11,151,67,False,True,
D0297,Dr. Ravi Nair,Diabetologist,T07,R036,13,77,34,False,False,
D0298,Dr. Rohan Bose,Diabetologist,T06,R035,34,76,14,False,False,
D0299,Dr. Robert Rao,Endocrinologist,T05,R028,3,64,32,False,False,
D0300,Dr. Nikhil Kapoor,Endocrinologist,T07,R036,29,56,24,True,False,
D0301,Dr. Anjali Menon,Internal Medicine,T02,R012,27,87,14,False,False,
D0302,Dr. Karan Smith,Diabetologist,T06,R035,4,90,14,False,False,
D0303,Dr. Meera Nair,Internal Medicine,T02,R012,11,76,43,False,False,
D0304,Dr. Divya Bose,Diabetologist,T02,R008,31,59,39,False,False,
D0305,Dr. Priya Kim,Endocrinologist,T09,R048,15,150,18,False,False,
D0306,Dr. Vikram Chen,General Physician,T09,R046,26,155,23,True,False,
D0307,Dr. Ravi Singh,Diabetologist,T07,R037,5,65,25,False,False,
D0308,Dr. Anjali Singh,Internal Medicine,T10,R051,27,139,35,True,False,
D0309,Dr. Priya Kim,Internal Medicine,T07,R037,12,90,30,True,False,
D0310,Dr. Rohan Nair,Internal Medicine,T02,R005,9,86,48,False,False,
D0311,Dr. Robert Patel,Diabetologist,T04,R023,5,176,22,False,False,
D0312,Dr. Ananya Reddy,General Physician,T03,R016,27,170,51,True,False,
D0313,Dr. Imran Reddy,General Physician,T08,R044,9,75,37,False,False,
D0314,Dr. Jennifer Nair,Internal Medicine,T02,R006,21,114,29,False,False,
D0315,Dr. Aditya Khan,Diabetologist,T07,R036,20,70,28,False,False,
D0316,Dr. Neha Iyer,Diabetologist,T09,R048,13,48,34,False,False,
D0317,Dr. Arjun Kapoor,General Physician,T02,R010,11,120,38,False,False,
D0318,Dr. Pooja Iyer,Diabetologist,T10,R051,1,103,24,False,False,
D0319,Dr. Jennifer Kim,Diabetologist,T08,R043,23,114,22,False,False,
D0320,Dr. Anjali Khan,Diabetologist,T01,R004,17,188,24,False,False,
D0321,Dr. Priya Verma,General Physician,T06,R035,31,79,23,False,False,
D0322,Dr. Divya Nair,Endocrinologist,T04,R023,7,104,39,False,True,
D0323,Dr. Ananya Reddy,General Physician,T07,R038,20,92,36,True,True,
D0324,Dr. Arjun Verma,General Physician,T02,R007,2,43,13,True,False,
D0325,Dr. Arjun Kapoor,Diabetologist,T05,R027,1,81,22,False,False,
D0326,Dr. Pooja Singh,Internal Medicine,T05,R025,16,48,16,False,False,
D0327,Dr. Patricia Sharma,Internal Medicine,T05,R028,33,89,24,False,False,2024-09
D0328,Dr. Jennifer Bose,Internal Medicine,T10,R053,23,59,22,True,False,
D0329,Dr. Jennifer Iyer,General Physician,T10,R051,7,57,19,False,False,
D0330,Dr. Neha Kapoor,Endocrinologist,T01,R003,30,143,34,True,False,
D0331,Dr. Mary Gupta,Diabetologist,T08,R039,12,74,22,False,False,
D0332,Dr. Nikhil Nair,Internal Medicine,T02,R005,13,78,29,False,False,
D0333,Dr. Priya Bose,Endocrinologist,T02,R006,18,98,24,False,False,
D0334,Dr. Vikram Bose,Endocrinologist,T05,R024,31,39,34,False,False,
D0335,Dr. Patricia Kapoor,General Physician,T10,R050,22,62,34,False,False,
D0336,Dr. Ravi Rao,General Physician,T06,R035,13,65,24,True,False,
D0337,Dr. Meera Kapoor,General Physician,T06,R033,12,101,32,True,False,
D0338,Dr. Ravi Iyer,General Physician,T08,R043,6,94,28,False,False,
D0339,Dr. Imran Chen,Endocrinologist,T05,R027,15,68,47,False,True,
D0340,Dr. Arjun Gupta,General Physician,T05,R024,34,160,19,False,False,
D0341,Dr. Neha Iyer,Endocrinologist,T07,R037,22,71,29,False,False,
D0342,Dr. Neha Menon,Diabetologist,T02,R009,14,64,26,True,False,
D0343,Dr. Ravi Rao,Internal Medicine,T09,R046,16,99,25,False,False,
D0344,Dr. Neha Smith,General Physician,T04,R022,7,66,58,False,True,
D0345,Dr. John Menon,General Physician,T06,R033,10,134,30,True,False,
D0346,Dr. Sara Bose,Diabetologist,T10,R051,20,96,41,False,False,
D0347,Dr. Vikram Kapoor,Diabetologist,T08,R045,14,66,42,False,True,
